date,open,high,low,close,volume,market cap
2017-11-28,0.050626,0.131730,0.047949,0.119744,240338000,1312600000
2017-11-29,0.118235,0.146906,0.081436,0.089718,210625000,3065480000
2017-11-30,0.094931,0.128303,0.094931,0.119883,124345000,2461270000
2017-12-01,0.116622,0.131352,0.113031,0.131352,73657600,3023680000
2017-12-02,0.131633,0.138869,0.129132,0.132351,56712600,3412870000
2017-12-03,0.132351,0.139220,0.124945,0.131807,46458900,3431460000
2017-12-04,0.131546,0.145946,0.126350,0.135870,76392700,3410590000
2017-12-05,0.135625,0.136404,0.126777,0.127488,50381100,3516360000
2017-12-06,0.126748,0.132855,0.113886,0.117839,75688800,3286200000
2017-12-07,0.117766,0.124176,0.105501,0.105501,71024600,3053330000
2017-12-08,0.106142,0.120726,0.099136,0.115465,70092400,2751950000
2017-12-09,0.114745,0.138660,0.113561,0.119609,63308600,2974990000
2017-12-10,0.119794,0.119794,0.100133,0.110281,46376600,3105910000
2017-12-11,0.108927,0.121383,0.108638,0.121383,39513900,2824170000
2017-12-12,0.121177,0.138008,0.114222,0.133891,60056800,3141770000
2017-12-13,0.133739,0.141854,0.122368,0.134281,61575000,3467460000
2017-12-14,0.133667,0.240753,0.131843,0.240753,309307000,3465580000
2017-12-15,0.233209,0.233209,0.187032,0.213467,207311000,6046420000
2017-12-16,0.212875,0.447192,0.204233,0.404665,581052000,5519230000
2017-12-17,0.386775,0.592417,0.378013,0.513011,628143000,10027900000
2017-12-18,0.511939,0.526496,0.467403,0.518198,253463000,13273100000
2017-12-19,0.520268,0.589589,0.501083,0.531273,279631000,13489000000
2017-12-20,0.533705,0.533705,0.441621,0.486151,182924000,13837400000
2017-12-21,0.490049,0.523619,0.456527,0.477851,162926000,12705500000
2017-12-22,0.478974,0.478974,0.293641,0.407150,150973000,12418400000
2017-12-23,0.414420,0.450368,0.392567,0.414027,88865000,10744700000
2017-12-24,0.416661,0.416661,0.347039,0.390029,67372300,10802800000
2017-12-25,0.392330,0.439700,0.362807,0.416363,122194000,10172000000
2017-12-26,0.413573,0.430086,0.405608,0.428465,94896000,10722700000
2017-12-27,0.427107,0.430827,0.401098,0.414176,82067500,11073600000
2017-12-28,0.412020,0.418934,0.367887,0.407701,82263800,10682500000
2017-12-29,0.410457,0.556879,0.403945,0.529299,266403000,10642000000
2017-12-30,0.528316,0.777385,0.471556,0.639243,645156000,13697700000
2017-12-31,0.642581,0.754446,0.642297,0.719695,305947000,16660300000
2018-01-01,0.718847,0.730051,0.671941,0.728657,150186000,18637600000
2018-01-02,0.724676,0.794646,0.697856,0.782587,289712000,18788700000
2018-01-03,0.779681,1.09,0.778578,1.08,657398000,20214800000
2018-01-04,1.09,1.33,1.04,1.11,593430000,28364900000
2018-01-05,1.17,1.25,0.903503,0.999559,508100000,30364400000
2018-01-06,0.997000,1.05,0.929183,1.03,297615000,25849300000
2018-01-07,1.02,1.04,0.991391,1.01,226067000,26553200000
